Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
66,Todd Collins\CollTo00,KAN,31,,3,0,,5,6,83.3,73,1,16.7,0,0,3,29,12.2,15.5,14.6,24.3,156.9,0,0,12.17,15.5,0,,
67,Marty Booker*\BookMa00,CHI,26,WR,16,16,,1,5,20,44,1,20,0,0,1,44,8.8,12.8,44,2.8,103.3,0,0,8.8,12.8,0,,
68,Scott Covington\CoviSc00,STL,26,qb,1,1,1-0-0,2,5,40,7,0,0,0,0,0,4,1.4,1.4,3.5,7,47.9,2,16,-1.29,-1.29,28.6,,
69,Neil O'Donnell\ODonNe00,TEN,36,,4,0,,3,5,60,24,0,0,0,0,2,15,4.8,4.8,8,6,72.1,0,0,4.8,4.8,0,,
70,Jesse Palmer\PalmJe00,NYG,24,,2,0,,3,4,75,30,0,0,0,0,2,14,7.5,7.5,10,15,95.8,0,0,7.5,7.5,0,,
71,Randy Moss*\MossRa00,MIN,25,WR,16,16,,1,3,33.3,13,1,33.3,0,0,1,13,4.3,11,13,0.8,87.5,0,0,4.33,11,0,,
72,Sage Rosenfels\RoseSa00,MIA,24,,4,0,,0,3,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
73,James Allen\AlleJa00,HOU,27,rb,16,5,,1,2,50,5,1,50,0,0,1,5,2.5,12.5,5,0.3,95.8,0,0,2.5,12.5,0,,
74,Rohan Davey\DaveRo01,NWE,24,,2,0,,1,2,50,3,0,0,0,0,0,3,1.5,1.5,3,1.5,56.2,0,0,1.5,1.5,0,,
75,Kevin Johnson\JohnKe01,CLE,26,WR,16,15,,1,2,50,33,1,50,0,0,1,33,16.5,26.5,33,2.1,135.4,0,0,16.5,26.5,0,,
76,Dorsey Levens\LeveDo00,PHI,32,,16,0,,0,2,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
77,Alex Van Pelt\VanPAl00,BUF,32,,2,0,,2,2,100,5,0,0,0,0,0,4,2.5,2.5,2.5,2.5,79.2,0,0,2.5,2.5,0,,
78,Frank Wycheck\WychFr00,TEN,31,TE,15,15,,1,2,50,13,0,0,0,0,1,13,6.5,6.5,13,0.9,70.8,0,0,6.5,6.5,0,,
79,Richie Anderson\AndeRi00,NYJ,31,FB,16,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
80,Dee Brown\BrowDe02,CAR,24,rb,14,3,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
81,Reche Caldwell\CaldRe00,SDG,23,wr,16,2,,1,1,100,20,0,0,0,0,1,20,20,20,20,1.3,118.7,0,0,20,20,0,,
82,Wayne Chrebet\ChreWa00,NYJ,29,WR,15,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
83,Chris Doering\DoerCh00,WAS,29,wr,15,3,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
84,Kevin Faulk\FaulKe00,NWE,26,,15,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
85,Bubba Franks*\FranBu00,GNB,24,TE,16,15,,1,1,100,31,1,100,0,0,1,31,31,51,31,1.9,158.3,0,0,31,51,0,,
86,Jabar Gaffney\GaffJa00,HOU,22,WR,16,14,,1,1,100,39,1,100,0,0,1,39,39,59,39,2.4,158.3,0,0,39,59,0,,
87,Rod Gardner\GardRo00,WAS,25,WR,16,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
88,Todd Heap*\HeapTo00,BAL,22,TE,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
89,Craig Hentrich\hentrcra01,TEN,31,P,16,0,,1,1,100,17,0,0,0,0,1,17,17,17,17,1.1,118.7,0,0,17,17,0,,
90,Priest Holmes*+\HolmPr00,KAN,29,RB,14,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
91,Frisman Jackson\JackFr01,CLE,23,,7,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Leon Johnson\JohnLe00,CHI,28,rb,16,4,,1,1,100,27,0,0,0,0,1,27,27,27,27,1.7,118.7,1,0,13.5,13.5,50,,
93,Terry Kirby\KirbTe00,OAK,32,,6,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
94,Kevin Lockett\LockKe00,2TM,28,,13,4,,1,1,100,14,1,100,0,0,0,14,14,34,14,1.1,158.3,0,0,14,34,0,,
95,Brad Maynard\MaynBr20,CHI,28,P,16,0,,1,1,100,12,1,100,0,0,1,12,12,32,12,0.8,156.2,0,0,12,32,0,,
96,Brian Mitchell\MitcBr00,PHI,34,,16,0,,1,1,100,57,1,100,0,0,1,57,57,77,57,3.6,158.3,0,0,57,77,0,,
97,Freddie Mitchell\MitcFr00,PHI,24,wr,16,1,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
98,Chris Mohr\MohrCh20,ATL,36,P,16,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
99,David Patten\PattDa00,NWE,28,WR,16,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
100,Ricky Proehl\ProeRi00,STL,34,wr,16,2,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,1,1,-0.5,-0.5,50,,
101,Rod Smith\SmitRo01,DEN,32,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
102,James Stewart\StewJa00,DET,31,RB,14,9,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
103,Tom Tupa\TupaTo20,TAM,36,P,16,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
104,Matt Turk\TurkMa20,NYJ,34,P,16,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
105,Brian Urlacher*+\UrlaBr00,CHI,24,MLB,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
106,Brian Westbrook\WestBr00,PHI,23,fb/rb,15,3,,1,1,100,25,1,100,0,0,1,25,25,45,25,1.7,158.3,0,0,25,45,0,,
107,Dave Zastudil\ZastDa20,BAL,24,P,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
