Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
66,Derek Thompson\derek-thompson-1,North Texas,Sun Belt,12,214,372,57.5,2629,7.1,6.1,14,14,121.8
67,Shaun Rutherford\shaun-rutherford-1,Texas State,WAC,12,193,299,64.5,2137,7.1,7.4,15,5,137.8
68,Tyler Benz\tyler-benz-1,Eastern Michigan,MAC,10,114,212,53.8,1506,7.1,6.7,14,8,127.7
69,Ryan Griffin\ryan-griffin-2,Tulane,CUSA,9,245,394,62.2,2771,7,6.8,20,11,132.4
70,Trevone Boykin*\trevone-boykin-1,Texas Christian,Big 12,12,167,292,57.2,2054,7,6.5,15,10,126.4
71,Tyler Van Tubbergen\tyler-van-tubbergen-1,Western Michigan,MAC,11,159,261,60.9,1825,7,6.2,15,11,130.2
72,Logan Thomas*\logan-thomas-1,Virginia Tech,ACC,13,220,429,51.3,2976,6.9,6.1,18,16,115.9
73,Graham Wilbert\graham-wilbert-1,Florida Atlantic,Sun Belt,12,261,405,64.4,2814,6.9,7.2,18,6,134.5
74,Gary Nova*\gary-nova-1,Rutgers,Big East,13,221,388,57,2695,6.9,6.2,22,16,125.8
75,Jacob Karam\jacob-karam-1,Memphis,CUSA,12,176,274,64.2,1895,6.9,7.4,14,3,137
76,Robert Marve*\robert-marve-1,Purdue,Big Ten,10,166,253,65.6,1734,6.9,7.2,15,5,138.8
77,Taylor McHargue*\taylor-mchargue-1,Rice,CUSA,12,194,325,59.7,2209,6.8,6.8,12,5,125.9
78,Keith Wenning*\keith-wenning-1,Ball State,MAC,12,301,460,65.4,3095,6.7,6.8,24,10,134.8
79,Cameron Coffman\cameron-coffman-1,Indiana,Big Ten,11,247,407,60.7,2734,6.7,6.2,15,11,123.9
80,Nick Lamaison\nick-lamaison-1,UTEP,CUSA,10,126,252,50,1686,6.7,6,12,9,114.8
81,Jeff Driskel*\jeff-driskel-1,Florida,SEC,12,156,245,63.7,1646,6.7,6.8,12,5,132.2
82,James Franklin\james-franklin-1,Missouri,SEC,9,139,234,59.4,1562,6.7,6.2,10,7,123.6
83,Chase Rettig\chase-rettig-1,Boston College,ACC,12,253,467,54.2,3060,6.6,6,17,13,115.7
84,Dalton Williams\dalton-williams-1,Akron,MAC,12,326,522,62.5,3387,6.5,6.1,25,16,126.6
85,David Piland\david-piland-1,Houston,CUSA,11,256,448,57.1,2929,6.5,6,16,12,118.5
86,Riley Nelson*\riley-nelson-1,Brigham Young,Ind,10,181,308,58.8,2011,6.5,5.5,13,13,119.1
87,Connor Halliday\connor-halliday-1,Washington State,Pac-12,9,152,291,52.2,1878,6.5,5.5,15,13,114.5
88,Travis Wilson\travis-wilson-4,Utah,Pac-12,12,128,204,62.7,1311,6.4,5.8,7,6,122.2
89,Keith Price*\keith-price-1,Washington,Pac-12,13,263,432,60.9,2728,6.3,5.8,19,13,122.4
90,Matt Schilz*\matt-schilz-1,Bowling Green State,MAC,13,228,413,55.2,2585,6.3,5.6,14,12,113.2
91,Jeff Tuel\jeff-tuel-1,Washington State,Pac-12,10,211,332,63.6,2087,6.3,5.7,8,8,119.5
92,Cody Green*\cody-green-1,Tulsa,CUSA,13,228,419,54.4,2592,6.2,5.8,17,11,114.5
93,Ross Metheny\ross-metheny-1,South Alabama,Sun Belt,13,189,345,54.8,2148,6.2,5.4,12,12,111.6
94,Phillip Sims\phillip-sims-1,Virginia,ACC,12,114,203,56.2,1263,6.2,6.2,9,4,119.1
95,Spencer Keith*\spencer-keith-1,Kent State,MAC,14,183,333,55,2021,6.1,5.4,12,10,111.8
96,Dayne Crist\dayne-crist-1,Kansas,Big 12,10,103,216,47.7,1313,6.1,4.6,4,9,96.5
97,Nick Sherry\nick-sherry-1,UNLV,MWC,12,226,426,53.1,2544,6,4.9,16,17,107.6
98,Steele Jantz*\steele-jantz-1,Iowa State,Big 12,11,167,269,62.1,1603,6,4.9,13,12,119.2
99,Trevor Siemian*\trevor-siemian-1,Northwestern,Big Ten,13,128,218,58.7,1312,6,5.9,6,3,115.6
100,Alex Zordich\alex-zordich-1,Buffalo,MAC,11,106,208,51,1254,6,5.4,9,7,109.2
101,Garrett Gilbert*\garrett-gilbert-1,SMU,CUSA,13,268,506,53,2932,5.8,5.1,15,15,105.5
102,Andrew Maxwell*\andrew-maxwell-1,Michigan State,Big Ten,13,234,446,52.5,2606,5.8,5.5,13,9,107.1
103,James Vandenberg\james-vandenberg-1,Iowa,Big Ten,12,223,389,57.3,2249,5.8,5.2,7,8,107.7
104,Tanner Price\tanner-price-1,Wake Forest,ACC,12,228,410,55.6,2300,5.6,5.4,12,7,109
105,Sean Schroeder\sean-schroeder-1,Hawaii,MWC,12,175,344,50.9,1878,5.5,4.5,11,12,100.3
106,Nathan Scheelhaase\nathan-scheelhaase-1,Illinois,Big Ten,10,149,246,60.6,1361,5.5,4.4,4,8,105.9
107,Jordan Webb\jordan-webb-1,Colorado,Pac-12,10,144,265,54.3,1434,5.4,4.7,8,8,103.7
108,Mike Wegzyn\mike-wegzyn-1,Massachusetts,MAC,11,182,346,52.6,1825,5.3,4.3,6,10,96.8
